Datum;Zeit;Veranstaltung;Thema;Alter
29.03.23;18:00:00;Vortrag VHS;Chile - Land der Wüste und der Teleskope;
03.04.23;10:00:00;Planetarium;Sonne, Mond und Sterne ;6
04.04.23;10:00:00;Planetarium;Captain Schnuppes Weltraumreise FD;8
05.04.23;09:00:00;Planetarium;Der Osterhimmel;10
06.04.23;10:00:00;Planetarium;Charlies Geheimnis;6
08.04.23;15:00:00;Planetarium;Wie Tom den Osterhasen vom Himmel holte;6
11.04.23;10:00:00;Planetarium;Reise durch das Sonnensystem;10
12.04.23;10:00:00;Planetarium;Die Rettung der Außerirdischen;6
13.04.23;10:00:00;Planetarium;Dunkle Materie;12
14.04.23;10:00:00;Planetarium;Der Frühlingshimmel;8
29.04.23;15:00:00;Planetarium;Dunkle Materie;12
